"beach_name","beach_slug","area_id (ref)","description","street_address","city","state","postal_code","latitude","longitude","parking_type","parking_fee","has_parking_validation","lifeguards","restrooms","typical_surf","vibe_tags","requires_reservation","weather_sensitive","risk_level","family_safety_tips"
"Kaanapali Beach","kaanapali-beach","kaanapali","3-mile stretch of white sand fronting major resorts, famous for Black Rock.","2435 Kaanapali Pkwy","Lahaina","HI","96761","20.923","-156.695","garage","$40/day max","TRUE","TRUE","TRUE","1-3 ft","resort, busy, snorkel","FALSE","FALSE","Low","Stay near Black Rock for snorkeling but watch currents."
"Kapalua Bay","kapalua-bay","kapalua","Sheltered, crescent-shaped bay with calm waters and excellent snorkeling.","1 Bay Dr","Lahaina","HI","96761","20.999","-156.666","lot","$10 (visitor)","FALSE","FALSE","TRUE","0-1 ft","calm, snorkel, luxury","FALSE","FALSE","Low","Very safe for kids due to protected reef."
"Kamaole Beach I","kamaole-i","south-kihei","The largest of the three ""Kam"" beaches with a nice sand spread and showers.","2400 S Kihei Rd","Kihei","HI","96753","20.722","-156.447","lot","$10 (visitor)","FALSE","TRUE","TRUE","1-2 ft","family, sunset, park","FALSE","FALSE","Low","Best for swimming; designated lifeguard areas."
"Kamaole Beach II","kamaole-ii","south-kihei","Slightly smaller beach popular with locals; good for bodyboarding.","2550 S Kihei Rd","Kihei","HI","96753","20.718","-156.446","street","None","FALSE","TRUE","TRUE","1-3 ft","local, bbq, bodyboard","FALSE","FALSE","Med","Watch for shorebreak on high surf days."
"Kamaole Beach III","kamaole-iii","south-kihei","Famous for its large grassy lawn, playground, and reliable waves.","2700 S Kihei Rd","Kihei","HI","96753","20.713","-156.447","lot","$10 (visitor)","FALSE","TRUE","TRUE","2-4 ft","picnic, party, sunset","FALSE","FALSE","Med","Great for picnics on the grass; waves can be dumpy."
"Makena Beach (Big Beach)","makena-beach","makena","Massive, undeveloped golden sand beach with powerful shorebreak.","6600 Makena Alanui","Kihei","HI","96753","20.633","-156.447","lot","$10 + $5/pp","FALSE","TRUE","TRUE (portable)","3-6 ft","wild, scenic, dangerous","FALSE","TRUE","High","Do not swim if waves are high; notorious for neck injuries."
"Waianapanapa Black Sand Beach","waianapanapa","hana","Stunning jet-black sand beach set against green jungle cliffs in a state park.","Waianapanapa State Park","Hana","HI","96713","20.788","-156.003","lot","$10 + $5/pp","FALSE","FALSE","TRUE","3-5 ft","photo-op, unique, cold","TRUE","TRUE","High","Strong currents and jelly fish; mostly for viewing."
"Baldwin Beach Park","baldwin-beach","paia","Long, wide sandy beach with a protected ""Baby Beach"" lagoon on the west end.","Alawai Rd","Paia","HI","96779","20.913","-156.393","lot","Free","FALSE","TRUE","TRUE","2-6 ft","wind, local, morning","FALSE","TRUE","Med","Protected lagoon is very safe; open ocean is rough."
"Ho'okipa Beach Park","hookipa-beach","paia","World-renowned windsurfing destination; turtles often rest on shore.","179 Hana Hwy","Paia","HI","96779","20.935","-156.356","lot","Free","FALSE","TRUE","TRUE","4-15 ft","surf, turtles, wind","FALSE","TRUE","High","Do not swim in winter; stay back from turtles."
"D.T. Fleming Beach","dt-fleming","kapalua","Long, wide sandy beach near the Ritz-Carlton, good for bodyboarding.","Lower Honoapiilani Rd","Lahaina","HI","96761","21.004","-156.651","lot","$10 (visitor)","FALSE","TRUE","TRUE","2-5 ft","shade, family, waves","FALSE","FALSE","Med","Shorebreak can be strong; use lifeguard eyes."